LAPORAN DAFTAR EKSPEDISI||||||
||||||
HUB|: ALL|||||
PROSES|: JEMPUT EKSPEDISI/JEMPUT REKANAN|||||
NAMA EKSPEDISI|: Hub IPP (3000013)/JNE YES (Prioritas) (3000064)|||||
||||||
ProcessType|Hub|HubName|Expedition|ExpeditionName|UpdTime|UpdUser
JEMPUT EKSPEDISI|H001|JKT|3000013|Hub IPP|0000-00-00 00:00:00|2015283481
JEMPUT EKSPEDISI|H001|JKT|3000064|JNE YES (Prioritas)|0000-00-00 00:00:00|CUCUN
JEMPUT REKANAN|H001|JKT|3000013|Hub IPP|0000-00-00 00:00:00|2015283481
JEMPUT EKSPEDISI|H004|JBR|3000013|Hub IPP|0000-00-00 00:00:00|2015295102
